index,cohort,grade,term_months,N,default_share,m1_mean,m1_median,m1_p25,m1_p75,m1_std,m1_pos_share,m2_mean,m2_median,m2_p25,m2_p75,m2_std,m2_pos_share,m3_mean,m3_median,m3_p25,m3_p75,m3_std,m3_pos_share
0,2014,A,36.0,35333.0,0.05383069651600487,0.021290743804554212,0.030368398382854895,0.021331729185519774,0.03686318777140943,0.03894261650268181,0.9433673902583987,0.021290743804554212,0.030368398382854895,0.021331729185519774,0.03686318777140943,0.03894261650268181,0.9433673902583987,0.019200512801554603,0.02607911934200402,0.020928806046728532,0.0297178534442466,0.03270885343036236,0.9531033311635015
14,2015,A,36.0,70132.0,0.0542833513945132,0.019118726275805648,0.02820504826308272,0.020588741712376492,0.03321514007926958,0.03921355478445703,0.9422374950094108,0.019118726275805648,0.02820504826308272,0.020588741712376492,0.03321514007926958,0.03921355478445703,0.9422374950094108,0.01781280204159213,0.024855551500656325,0.020500698619286994,0.02768036536706414,0.034619181181343904,0.9524753322306507
1,2014,A,60.0,775.0,0.06709677419354838,0.026856905640103883,0.03637664041532528,0.025023997916666665,0.041829995386647265,0.030382733407201937,0.9470967741935484,0.026856905640103883,0.03637664041532528,0.025023997916666665,0.041829995386647265,0.030382733407201937,0.9470967741935484,0.028953613455117714,0.04013325299749959,0.029944533715408617,0.044888870389813484,0.0415984629670729,0.9470967741935484
15,2015,A,60.0,3204.0,0.07365792759051186,0.02309987250150145,0.03317007596288813,0.020142778728295327,0.039595901956974947,0.031601325407422554,0.9322721598002497,0.02309987250150145,0.03317007596288813,0.020142778728295327,0.039595901956974947,0.031601325407422554,0.9322721598002497,0.025176963616370795,0.03729583148990079,0.02543694080875547,0.04295110099207067,0.04404888237422419,0.9382022471910112
2,2014,B,36.0,53460.0,0.10723905723905724,0.028280786280357375,0.04598672461322573,0.028402147916666655,0.05559486121507224,0.0585804592885893,0.899850355405911,0.028280786280357375,0.04598672461322573,0.028402147916666655,0.05559486121507224,0.0585804592885893,0.899850355405911,0.02117142343782393,0.03474404976869172,0.024967271109635536,0.03993372256142402,0.048656973840455975,0.9092405536849981
16,2015,B,36.0,91783.0,0.11906344312127518,0.021247986473514356,0.04005838428064584,0.024695656666666663,0.04957882813964137,0.0611251779532455,0.8854798818953401,0.021247986473514356,0.04005838428064584,0.024695656666666663,0.04957882813964137,0.0611251779532455,0.8854798818953401,0.016636211261774433,0.031489264114220594,0.022858161323948467,0.03669644206860545,0.052005654380710156,0.8977697394942419
3,2014,B,60.0,8475.0,0.13474926253687317,0.029772397191672163,0.04454315236781782,0.024024308750000004,0.057045131274521016,0.04623721188678793,0.8854277286135693,0.029772397191672163,0.04454315236781782,0.024024308750000004,0.057045131274521016,0.04623721188678793,0.8854277286135693,0.028594211121210304,0.04722299778568129,0.029027779077016147,0.057718124389154024,0.059744355032240744,0.8922713864306785
17,2015,B,60.0,25823.0,0.14301204352708827,0.02467033220048523,0.04052838295507779,0.02090650245831145,0.05128087222923113,0.046638055870306665,0.8730589009797467,0.02467033220048523,0.04052838295507779,0.02090650245831145,0.05128087222923113,0.046638055870306665,0.8730589009797467,0.023355088963471677,0.043761650488634896,0.026147448791026262,0.05293110612947982,0.06361447016803239,0.8819656895016071
4,2014,C,36.0,44042.0,0.1719495027473775,0.027462873219729535,0.05961605993589742,0.02586289809523811,0.07088767679240895,0.07787402230992013,0.8488488261205214,0.027462873219729535,0.05961605993589742,0.02586289809523811,0.07088767679240895,0.07787402230992013,0.8488488261205214,0.01785327680715858,0.04207529637225049,0.02352423503919776,0.04798617298929292,0.06490817378571041,0.8567503746423868
18,2015,C,36.0,77457.0,0.19448209974566533,0.018809337268916784,0.05469114441995265,0.018723454166666594,0.0649832657707449,0.08294487977454147,0.8204810410937682,0.018809337268916784,0.05469114441995265,0.018723454166666594,0.0649832657707449,0.08294487977454147,0.8204810410937682,0.011795904446686581,0.03944999301963148,0.019422747847449795,0.04490656330069065,0.06922091524525183,0.8351859741534012
5,2014,C,60.0,22523.0,0.21289348665808286,0.030752706061385617,0.053223359095151024,0.017256731371428562,0.0724958418044081,0.06085326413669414,0.8229365537450606,0.030752706061385617,0.053223359095151024,0.017256731371428562,0.0724958418044081,0.06085326413669414,0.8229365537450606,0.02580748651914661,0.05455399898285451,0.022734055898632755,0.07013864021060168,0.07619834619059904,0.827376459619056
19,2015,C,60.0,43110.0,0.22897239619577825,0.025004946916995747,0.04939980451109943,0.013321364757234097,0.0677664633269861,0.0628111654884519,0.8034330781721178,0.025004946916995747,0.04939980451109943,0.013321364757234097,0.0677664633269861,0.0628111654884519,0.8034330781721178,0.019235598559466476,0.051349933459062025,0.019001774999254872,0.06639796168646689,0.08147489159629823,0.8127116678264904
6,2014,D,36.0,20510.0,0.22174549000487567,0.02761219916455631,0.06743546972789113,0.019415827633647804,0.08660718155667503,0.09382327052910595,0.8067284251584593,0.02761219916455631,0.06743546972789113,0.019415827633647804,0.08660718155667503,0.09382327052910595,0.8067284251584593,0.014978362535529675,0.04618998323661749,0.01982340289621609,0.056013162269515915,0.07817769281171505,0.8148707947342759
20,2015,D,36.0,32740.0,0.26218692730604765,0.015579330826635518,0.06101914485755604,0.004074004333333336,0.08342438917404643,0.1016671093794683,0.7630726939523519,0.015579330826635518,0.06101914485755604,0.004074004333333336,0.08342438917404643,0.1016671093794683,0.7630726939523519,0.00585122960158492,0.04281841309204559,0.010794058982928179,0.054407550646934755,0.08592006743829605,0.7792608430054979
7,2014,D,60.0,22482.0,0.2834712214215817,0.030691590958732175,0.0550607152105108,0.006284163782383432,0.08695973649683297,0.0733322753912893,0.7718174539631706,0.030691590958732175,0.0550607152105108,0.006284163782383432,0.08695973649683297,0.0733322753912893,0.7718174539631706,0.021822141632034945,0.056079918101954895,0.012188147690878837,0.08126529243075864,0.09029786193240304,0.7777332977493105
21,2015,D,60.0,29914.0,0.326134920104299,0.020962107587235504,0.049230663742405464,-0.01877043246033362,0.08548464398950574,0.07882077234951523,0.7243765460988166,0.020962107587235504,0.049230663742405464,-0.01877043246033362,0.08548464398950574,0.07882077234951523,0.7243765460988166,0.00933118953058232,0.05120729148966918,-0.013688991090511998,0.08015136891039815,0.1017800390355563,0.7347395868155379
8,2014,E,36.0,7066.0,0.27030851967166714,0.028210658039117348,0.07413221773850993,0.0037976916666666613,0.10516276800817814,0.10889001683832891,0.7681856778941409,0.028210658039117348,0.07413221773850993,0.0037976916666666613,0.10516276800817814,0.10889001683832891,0.7681856778941409,0.012043427210357503,0.04966316119198111,0.010628450342349771,0.06518470882659083,0.09077256183564074,0.774695726011888
22,2015,E,36.0,9450.0,0.32835978835978835,0.008281193832060855,0.05931595055555558,-0.051304417002559784,0.09731327430221856,0.1165411458462682,0.7076190476190476,0.008281193832060855,0.05931595055555558,-0.051304417002559784,0.09731327430221856,0.1165411458462682,0.7076190476190476,-0.002291386706141401,0.041916073700128176,-0.024807181331711392,0.06134354312748691,0.09810630770635215,0.7227513227513227
9,2014,E,60.0,13055.0,0.3600153198008426,0.026916654602480262,0.04857173439999999,-0.0339792214980047,0.10224469668329708,0.08562391873069486,0.7087705859823822,0.026916654602480262,0.04857173439999999,-0.0339792214980047,0.10224469668329708,0.08562391873069486,0.7087705859823822,0.013586460563267164,0.0506508551263003,-0.03082866857286165,0.09254619190630353,0.10526605223305316,0.7162006893910379
23,2015,E,60.0,25498.0,0.3813240254137579,0.0160491395845571,0.038819819146073395,-0.05087228125274725,0.09319751955738013,0.08729559184028296,0.6751117734724292,0.0160491395845571,0.038819819146073395,-0.05087228125274725,0.09319751955738013,0.08729559184028296,0.6751117734724292,0.0009316720786342184,0.04227457262879508,-0.05140737314348742,0.08592574156551652,0.11156701801013788,0.6890736528355165
10,2014,F,36.0,1980.0,0.29494949494949496,0.03697817219196591,0.09057939790016525,0.0028615355370132907,0.1295834473844884,0.12278868190002974,0.7535353535353535,0.03697817219196591,0.09057939790016525,0.0028615355370132907,0.1295834473844884,0.12278868190002974,0.7535353535353535,0.014632199242166322,0.05800340973036,0.01006653874530511,0.0767933402653369,0.09710865603408475,0.7606060606060606
24,2015,F,36.0,1363.0,0.42406456346294935,-0.001203017870641811,0.046737113725490206,-0.11580815172652681,0.11933725216852849,0.13454045403500087,0.6353631694790902,-0.001203017870641811,0.046737113725490206,-0.11580815172652681,0.11933725216852849,0.13454045403500087,0.6353631694790902,-0.013760367346146562,0.03515312224974898,-0.07416498185989823,0.0719838213952253,0.11532850858310678,0.6544387380777696
11,2014,F,60.0,4243.0,0.40089559274098513,0.025623198447416465,0.043920642926829276,-0.05923222554054054,0.11176931744665947,0.09688048406622427,0.677350930945086,0.025623198447416465,0.043920642926829276,-0.05923222554054054,0.11176931744665947,0.09688048406622427,0.677350930945086,0.007755089093640622,0.04668929155863544,-0.062289630302075794,0.09934686995883935,0.1170627691943109,0.683007306151308
25,2015,F,60.0,8454.0,0.4582446179323397,0.008334260417630416,0.024505671212775124,-0.08611439524311584,0.09545309535917543,0.09968540683505785,0.6062219067896853,0.008334260417630416,0.024505671212775124,-0.08611439524311584,0.09545309535917543,0.09968540683505785,0.6062219067896853,-0.012990805682748902,0.02946961540497095,-0.10120254034620174,0.08759143334123276,0.1261178111282862,0.6214809557605867
12,2014,G,36.0,179.0,0.36312849162011174,0.02518561442031378,0.08053343238095237,-0.059038564170337746,0.13877945027341526,0.13071650676994293,0.7039106145251397,0.02518561442031378,0.08053343238095237,-0.059038564170337746,0.13877945027341526,0.13071650676994293,0.7039106145251397,0.00602526180114002,0.0529406359922755,-0.030215448357861996,0.08103790793069854,0.10216983801192897,0.7039106145251397
26,2015,G,36.0,248.0,0.4596774193548387,-0.009869698723001339,0.0369325067291771,-0.17066435556944692,0.1411588086818383,0.1521472692978218,0.5725806451612904,-0.009869698723001339,0.0369325067291771,-0.17066435556944692,0.1411588086818383,0.1521472692978218,0.5725806451612904,-0.023859344097126377,0.029756413168262164,-0.1264410887638536,0.08212536489878286,0.12252118172838239,0.5967741935483871
13,2014,G,60.0,1506.0,0.4448871181938911,0.019659810196431104,0.03385713180463576,-0.0797384036,0.11216016126789866,0.10203889008747409,0.6347941567065073,0.019659810196431104,0.03385713180463576,-0.0797384036,0.11216016126789866,0.10203889008747409,0.6347941567065073,-0.00018003733101253856,0.03790624155087663,-0.09135663099357211,0.09962236638844052,0.12217329033519611,0.6407702523240372
27,2015,G,60.0,1919.0,0.504950495049505,0.00022701163390252853,0.014283663813229545,-0.10042947561576356,0.08318169089230736,0.10437751943329869,0.5659197498697238,0.00022701163390252853,0.014283663813229545,-0.10042947561576356,0.08318169089230736,0.10437751943329869,0.5659197498697238,-0.025528188220752052,0.01991947008611028,-0.1250278824448504,0.07840304109621443,0.1373417184360605,0.5862428348097968
